NOMBRE,FECHA_NACIMIENTO,EDAD,CUMPLEANOS
ABRAHAM LINCOLN,12-02-1809,217,NO
ALBERT EINSTEIN,14-03-1879,147,NO
ALEXANDER GRAHAM BELL,03-03-1847,179,NO
ALEXANDER THE GREAT,FECHA INVALIDA,N/A,
AMELIA EARHART,24-07-1897,128,NO
ANNE FRANK,12-06-1929,96,NO
AUGUSTUS,FECHA INVALIDA,N/A,
BEETHOVEN,17-12-1770,255,NO
BENJAMIN FRANKLIN,17-01-1706,320,NO
CHARLES DARWIN,12-02-1809,217,NO
CHE GUEVARA,14-06-1928,97,NO
CHRISTOPHER COLUMBUS,31-10-1451,574,NO
CLEOPATRA,FECHA INVALIDA,N/A,
COCO CHANEL,19-08-1883,142,NO
EDGAR ALLAN POE,19-01-1809,217,NO
ELVIS PRESLEY,08-01-1935,91,NO
EMILY DICKINSON,10-12-1830,195,NO
ERNEST HEMINGWAY,21-07-1899,126,NO
ERNEST SHACKLETON,15-02-1874,152,NO
FRIDA KAHLO,06-07-1907,118,NO
GALILEO GALILEI,15-02-1564,462,NO
GENGHIS KHAN,FECHA INVALIDA,N/A,
GEORGE WASHINGTON,22-02-1732,294,NO
ISAAC ASIMOV,02-01-1920,106,NO
ISAAC NEWTON,25-12-1642,383,NO
JANE AUSTEN,16-12-1775,250,NO
JOAN BAEZ,09-01-1941,85,NO
JOAN MIRÓ,20-04-1893,133,NO
JOAN OF ARC,06-01-1412,614,NO
JOHN F. KENNEDY,29-05-1917,109,NO
JOHN LENNON,09-10-1940,85,NO
JULIUS CAESAR,FECHA INVALIDA,N/A,
LEO TOLSTOY,09-09-1828,197,NO
LEONARDO DA VINCI,15-04-1452,574,NO
MAHATMA GANDHI,02-10-1869,156,NO
MARIE CURIE,07-11-1867,158,NO
MARILYN MONROE,01-06-1926,100,NO
MARTIN LUTHER KING JR.,15-01-1929,97,NO
MICHAEL JACKSON,29-08-1958,67,NO
MICHELANGELO,06-03-1475,551,NO
MOTHER TERESA,26-08-1910,115,NO
MOZART,27-01-1756,270,NO
NAPOLEON BONAPARTE,15-08-1769,256,NO
NEIL ARMSTRONG,05-08-1930,95,NO
NELSON MANDELA,18-07-1918,107,NO
PABLO PICASSO,25-10-1881,144,NO
QUEEN CLEOPATRA VII,FECHA INVALIDA,N/A,
QUEEN ELIZABETH I,07-09-1533,492,NO
QUEEN ELIZABETH II,21-04-1926,100,NO
QUEEN ISABELLA I OF CASTILE,22-04-1451,575,NO
QUEEN VICTORIA,24-05-1819,207,NO
ROSA PARKS,04-02-1913,113,NO
SIGMUND FREUD,06-05-1856,170,NO
STEVE JOBS,24-02-1955,71,NO
THEODORE ROOSEVELT,27-10-1858,167,NO
VINCENT VAN GOGH,30-03-1853,173,NO
WILLIAM FAULKNER,25-09-1897,128,NO
WILLIAM SHAKESPEARE,23-04-1564,462,NO
WILLIAM THE CONQUEROR,FECHA INVALIDA,N/A,
WINSTON CHURCHILL,30-11-1874,151,NO
